Temperature,RH,Ws,Wind_Direction,Rain,Rain_3D_Sum,Rain_7D_Sum,Temp_3D_Max,RH_3D_Mean,Dryness_Index,VPD,Surface_Temp,Soil_Temp,Soil_Moisture,Dew_Point,Pressure,Evapotranspiration,is_day,month_sin,month_cos,hour_sin,hour_cos,NDVI,Fuel_Type_Conifer,Resin_Ignition_Potential,Nearest_Fire_Dist_KM,Wind_Fire_Vector_Alignment,is_fire
34.09,23.71,31.87,34.8,0.0,0.1,0.29,36.11,24.45,1.438,4.0791,40.77,42.05,0.014,4.5,997.4,6.59,1,-0.5,-0.866,-0.866,-0.5,0.652,0.706,0.6354,5.08,11.6,1
47.64,64.85,8.4,127.1,0.0,0.0,0.0,49.34,64.85,0.735,3.8519,56.27,47.64,0.01,32.63,1007.9,2.97,1,-0.0,1.0,0.5,-0.866,0.02,0.0,0.0,100.0,180.0,0
25.67,76.88,20.85,6.6,0.0,0.0,0.0,27.47,76.88,0.334,0.7625,39.1,25.67,0.0,-7.06,1019.3,3.86,1,-0.866,0.5,0.0,1.0,0.014,0.0,0.0,100.0,180.0,0
40.54,74.4,18.74,181.0,0.0,0.0,0.0,41.75,74.4,0.545,1.9434,49.39,40.54,0.01,28.86,1015.4,10.19,0,1.0,0.0,-0.7071,-0.7071,0.012,0.0,0.0,100.0,180.0,0
27.48,82.95,6.61,244.9,0.0,0.0,0.0,30.17,82.95,0.331,0.6251,30.2,27.48,0.01,16.23,1012.8,4.57,1,-0.5,-0.866,0.7071,-0.7071,0.023,0.0,0.0,100.0,180.0,0
14.94,70.04,5.33,161.4,1.63,0.9,8.46,13.03,76.69,0.213,0.5088,14.71,14.22,0.332,7.63,1012.1,2.72,1,-0.0,1.0,0.0,-1.0,0.116,0.165,0.004,75.05,115.6,0
23.17,74.92,11.35,159.1,3.77,1.24,1.86,21.87,84.4,0.309,0.7119,21.64,22.29,0.338,17.26,1021.1,0.9,1,1.0,0.0,-0.7071,-0.7071,0.233,0.247,0.0176,73.6,177.3,0
10.03,90.86,10.37,104.3,2.29,3.72,56.57,8.59,96.45,0.11,0.1125,9.13,10.98,0.308,8.01,1013.9,1.63,1,1.0,0.0,1.0,0.0,0.104,0.155,0.0018,127.54,111.1,0
9.02,66.67,12.85,210.4,0.37,6.32,6.77,7.39,67.46,0.135,0.3832,8.0,10.52,0.439,2.38,1024.5,0.4,1,-0.0,1.0,-0.7071,-0.7071,0.163,0.224,0.0049,142.95,161.4,0
32.74,41.2,14.45,196.8,0.18,1.05,6.74,33.92,45.36,0.795,2.9152,36.67,33.69,0.097,22.43,1011.7,4.9,0,0.0,-1.0,-0.9659,-0.2588,0.206,0.281,0.0449,22.2,31.6,0
23.12,85.09,9.97,229.4,2.23,2.21,23.4,22.91,90.32,0.272,0.4217,24.56,24.41,0.344,16.77,1013.5,2.76,0,-0.0,1.0,0.866,0.5,0.351,0.15,0.0141,126.72,114.6,0
28.93,38.02,21.75,46.3,0.35,2.59,6.42,29.59,40.99,0.761,2.4723,31.37,29.7,0.178,15.78,1008.0,5.57,0,-0.866,-0.5,0.7071,-0.7071,0.31,0.218,0.0502,21.56,56.0,0
13.12,57.77,11.55,46.8,6.7,4.18,29.57,13.43,62.13,0.227,0.6376,13.89,11.17,0.32,10.97,1019.0,1.94,0,0.5,-0.866,-0.9659,-0.2588,0.274,0.007,0.0004,98.62,88.6,0
28.87,36.45,17.5,99.3,0.11,1.28,1.48,28.61,39.0,0.792,2.5265,33.2,30.19,0.092,13.08,1014.0,4.69,1,-1.0,-0.0,-0.9659,-0.2588,0.453,0.366,0.1279,21.49,47.7,1
5.84,64.15,12.39,86.3,0.8,0.72,0.61,5.99,66.5,0.091,0.3315,7.81,6.78,0.348,3.43,1017.1,0.16,1,0.866,-0.5,-0.9659,0.2588,0.351,0.266,0.0084,141.33,168.4,0
40.58,19.99,24.99,261.6,0.0,0.08,0.31,42.51,21.24,2.03,6.0862,49.52,44.07,0.024,15.54,998.7,8.28,1,-0.5,-0.866,-0.9659,-0.2588,0.436,0.31,0.2615,5.48,19.2,1
29.68,47.31,6.93,246.1,0.0,0.0,0.0,30.58,47.31,0.627,2.1952,40.29,29.68,0.0,10.96,1016.6,5.04,1,-0.866,-0.5,0.866,0.5,0.024,0.0,0.0,100.0,180.0,0
30.66,32.62,17.06,254.9,0.26,2.77,4.02,32.07,36.39,0.94,2.9695,34.59,31.11,0.17,13.06,1008.6,3.38,1,0.0,-1.0,0.2588,-0.9659,0.325,0.209,0.0619,20.02,37.5,0
24.97,92.13,8.34,24.0,3.44,6.8,2.47,23.07,94.17,0.271,0.2488,25.79,25.77,0.422,22.41,1024.2,2.82,0,0.5,0.866,-0.866,0.5,0.32,0.046,0.0039,88.15,160.4,0
42.58,73.71,19.19,237.4,0.0,0.0,0.0,43.67,73.71,0.578,2.2217,46.03,42.58,0.0,12.26,1008.3,9.99,1,0.866,-0.5,0.2588,0.9659,0.034,0.0,0.0,100.0,180.0,0
38.09,49.78,26.88,336.2,0.0,0.0,0.0,40.06,49.78,0.765,3.3432,51.61,38.09,0.01,17.79,1015.3,11.65,0,0.866,-0.5,-0.7071,0.7071,0.01,0.0,0.0,100.0,180.0,0
7.86,48.7,5.77,326.5,1.78,4.65,8.3,6.89,52.43,0.161,0.5452,6.54,8.4,0.404,4.7,1023.6,2.31,0,0.5,-0.866,0.9659,0.2588,0.101,0.011,0.0002,116.57,160.7,0
35.13,18.75,35.2,90.3,0.0,0.12,0.16,37.18,19.95,1.874,4.6001,49.35,38.47,0.073,5.45,996.9,11.84,1,-0.5,-0.866,-0.9659,-0.2588,0.761,0.53,0.7173,1.71,10.8,1
43.21,11.57,41.07,59.7,0.0,0.05,0.19,45.05,15.73,3.735,7.7254,50.07,47.65,0.034,14.13,999.0,11.76,1,-0.5,-0.866,-0.866,-0.5,0.751,0.779,2.0135,5.49,14.5,1
48.21,22.25,18.37,18.1,0.0,0.0,0.0,50.08,22.25,2.167,8.7709,54.18,48.21,0.01,14.85,1009.1,8.79,1,-0.866,0.5,-0.7071,-0.7071,0.015,0.0,0.0,100.0,180.0,0
35.72,14.75,29.77,186.5,0.0,0.06,0.03,37.92,16.74,2.421,4.9865,47.79,43.24,0.069,14.07,1004.1,11.44,1,-0.866,-0.5,-0.7071,-0.7071,0.655,0.481,0.7144,8.44,19.2,1
33.32,34.32,16.02,12.4,0.5,0.06,2.87,34.71,35.86,0.971,3.3638,34.58,35.22,0.102,18.56,1014.4,4.8,1,-1.0,-0.0,-0.7071,-0.7071,0.312,0.192,0.0565,20.99,26.9,1
7.27,88.42,3.67,282.8,1.67,16.73,3.04,6.76,92.29,0.082,0.1182,7.97,5.65,0.346,4.47,1019.4,2.25,1,1.0,0.0,0.7071,-0.7071,0.401,0.232,0.0076,81.52,160.4,0
33.29,14.16,36.14,54.4,0.0,0.14,0.64,33.65,18.07,2.351,4.3889,47.99,42.17,0.056,7.1,998.4,11.13,1,-0.5,-0.866,-0.9659,-0.2588,0.63,0.903,1.2504,5.66,4.1,1
28.27,49.64,15.1,12.2,0.33,1.47,0.83,29.48,57.17,0.57,1.9337,32.47,30.54,0.171,15.3,1010.1,3.13,0,0.0,-1.0,-1.0,-0.0,0.493,0.217,0.0597,33.79,68.6,0
47.68,13.93,4.15,331.4,0.0,0.0,0.0,50.31,13.93,3.422,9.4535,48.98,47.68,0.0,36.67,1005.9,6.26,1,-0.866,0.5,-0.866,-0.5,0.003,0.0,0.0,100.0,180.0,0
33.82,49.09,14.0,333.8,0.29,3.82,1.29,33.97,52.01,0.689,2.6812,37.35,35.68,0.147,17.25,1014.1,5.59,1,-0.866,-0.5,0.7071,-0.7071,0.441,0.387,0.1152,12.02,56.7,0
37.84,20.8,39.05,43.4,0.0,0.12,0.2,37.88,25.13,1.82,5.2022,46.9,45.2,0.06,9.61,1006.2,7.9,1,-0.5,-0.866,-0.2588,-0.9659,0.546,0.534,0.5067,8.54,21.2,1
31.96,47.58,11.42,57.5,1.33,1.11,0.1,33.11,54.1,0.672,2.4867,34.03,32.65,0.115,14.23,1011.2,3.43,0,-1.0,-0.0,0.2588,-0.9659,0.291,0.331,0.0635,29.92,48.8,1
31.86,49.54,16.35,352.7,1.09,0.54,0.54,33.43,47.79,0.643,2.3796,35.55,35.03,0.093,20.09,1011.5,3.97,0,-0.866,-0.5,0.2588,-0.9659,0.382,0.359,0.0865,34.99,24.4,0
43.81,15.95,40.86,99.7,0.0,0.28,0.18,43.99,17.91,2.748,7.5757,55.91,50.22,0.044,23.63,1006.5,11.08,1,-0.866,-0.5,-0.7071,-0.7071,0.444,0.459,0.5267,7.14,11.2,1
33.38,17.05,15.95,199.5,0.0,0.18,0.02,35.21,17.46,1.957,4.2612,38.44,40.01,0.035,7.67,996.9,9.46,1,-0.5,-0.866,-0.866,-0.5,0.666,0.491,0.6039,3.3,11.7,1
36.11,10.04,37.83,339.5,0.0,0.06,0.27,38.39,12.1,3.598,5.3756,42.9,39.61,0.059,13.43,999.3,10.92,1,-0.866,-0.5,-0.7071,-0.7071,0.509,0.345,0.5754,7.81,10.2,1
6.69,77.14,11.37,15.4,4.28,0.94,3.61,6.63,84.69,0.087,0.2242,5.63,8.51,0.199,2.37,1015.6,1.96,0,0.866,0.5,-0.9659,-0.2588,0.527,0.29,0.0131,139.67,168.5,0
28.51,34.93,16.51,314.3,1.84,1.38,1.2,29.51,36.52,0.816,2.5332,31.3,32.28,0.094,15.99,1016.8,3.13,1,-1.0,-0.0,0.2588,-0.9659,0.479,0.257,0.0977,28.28,56.7,1
44.6,24.95,40.14,254.8,0.0,0.07,0.11,46.29,28.94,1.788,7.045,54.89,52.75,0.066,20.11,998.8,6.19,1,-0.5,-0.866,-0.2588,-0.9659,0.407,0.811,0.5672,0.58,14.5,1
25.67,21.15,10.16,278.0,0.0,0.0,0.0,27.18,21.15,1.214,2.5989,31.75,25.67,0.01,1.36,1019.4,14.01,0,-0.0,1.0,-0.7071,0.7071,0.008,0.0,0.0,100.0,180.0,0
21.84,61.38,14.16,127.8,1.17,17.52,13.43,20.93,70.71,0.356,1.0111,21.57,22.28,0.292,19.07,1020.3,0.76,0,0.866,0.5,0.5,0.866,0.323,0.138,0.0156,133.79,90.4,0
26.85,73.09,23.51,282.9,0.0,0.0,0.0,27.62,73.09,0.367,0.9507,40.55,26.85,0.0,15.39,1009.5,4.72,0,0.5,0.866,-0.866,0.5,0.035,0.0,0.0,100.0,180.0,0
32.91,33.38,17.37,102.6,0.43,1.33,3.06,33.01,40.88,0.986,3.335,36.54,33.91,0.142,15.17,1013.3,5.05,1,-0.5,-0.866,-0.2588,-0.9659,0.389,0.347,0.1291,33.64,24.5,1
5.2,77.08,6.87,344.7,4.51,7.72,25.5,4.37,84.78,0.068,0.2028,6.18,5.54,0.414,-0.11,1017.7,1.61,0,0.866,0.5,0.7071,-0.7071,0.411,0.247,0.0067,123.54,81.6,0
10.59,93.57,2.78,246.2,1.91,0.5,0.84,11.3,100.84,0.113,0.0821,11.45,10.13,0.438,3.3,1016.9,0.43,1,-0.866,0.5,0.2588,-0.9659,0.139,0.055,0.0009,108.38,138.4,0
29.31,16.68,4.59,194.1,0.0,0.0,0.0,30.89,16.68,1.757,3.397,41.13,29.31,0.0,14.76,1006.9,12.94,0,1.0,0.0,-0.2588,0.9659,0.035,0.0,0.0,100.0,180.0,0
5.24,81.57,1.31,14.3,2.02,5.38,7.96,2.52,87.11,0.064,0.1635,7.08,4.72,0.369,2.02,1015.0,0.92,0,0.866,0.5,0.7071,-0.7071,0.411,0.07,0.0018,52.52,178.8,0
23.44,78.73,6.76,149.3,0.26,3.55,0.93,23.27,83.86,0.298,0.6136,21.97,23.18,0.382,17.16,1023.2,1.03,1,-0.866,0.5,-1.0,-0.0,0.558,0.271,0.0444,80.86,97.1,0
32.68,40.76,16.86,230.3,0.13,0.38,0.73,34.58,39.34,0.802,2.9267,37.23,34.89,0.124,19.55,1012.7,5.71,1,0.0,-1.0,0.0,-1.0,0.223,0.162,0.0284,19.93,43.6,0
6.72,52.62,7.42,176.6,2.18,11.24,1.37,4.13,60.24,0.128,0.4656,4.73,8.29,0.378,4.08,1016.9,1.71,1,1.0,0.0,0.5,-0.866,0.553,0.154,0.0107,106.04,139.4,0
31.48,59.51,16.96,351.3,0.0,0.0,0.0,32.68,59.51,0.529,1.869,35.81,31.48,0.01,16.99,1017.9,12.4,1,-1.0,-0.0,0.866,0.5,0.019,0.0,0.0,100.0,180.0,0
44.9,77.0,19.91,331.8,0.0,0.0,0.0,45.28,77.0,0.583,2.1917,57.21,44.9,0.0,28.29,1009.3,9.75,0,0.5,0.866,-0.7071,0.7071,0.038,0.0,0.0,100.0,180.0,0
21.01,75.39,8.87,139.1,2.07,6.36,1.05,18.85,79.96,0.279,0.6123,20.05,21.18,0.354,19.91,1022.9,0.83,1,1.0,0.0,0.9659,-0.2588,0.41,0.013,0.0014,60.67,147.3,0
32.23,35.2,15.32,278.6,0.23,0.73,3.75,34.1,35.43,0.916,3.1209,34.11,36.2,0.149,19.66,1010.4,5.66,1,-1.0,-0.0,-0.9659,-0.2588,0.282,0.386,0.0971,23.94,31.6,0
15.76,88.57,12.04,177.3,1.15,1.85,6.27,16.05,91.9,0.178,0.2046,15.94,14.56,0.196,10.1,1018.5,2.89,1,-0.5,0.866,0.5,-0.866,0.345,0.101,0.0062,119.04,132.6,0
14.83,56.65,8.23,280.4,0.94,2.11,9.24,15.36,56.53,0.262,0.7311,12.96,14.95,0.278,9.26,1014.6,2.15,0,0.5,0.866,0.9659,-0.2588,0.298,0.161,0.0123,115.91,167.8,0
33.31,43.48,21.65,135.7,0.9,0.71,7.29,34.13,50.22,0.766,2.8932,37.35,34.36,0.16,21.81,1014.5,3.3,1,0.0,-1.0,-0.9659,-0.2588,0.484,0.374,0.1354,18.55,42.6,1
10.37,82.87,3.33,308.7,2.6,0.24,9.01,8.8,87.39,0.125,0.2156,8.75,8.41,0.252,6.28,1021.4,1.94,1,-0.5,0.866,-0.2588,-0.9659,0.484,0.117,0.007,92.41,140.8,0
48.96,89.21,29.34,19.7,0.0,0.0,0.0,49.88,89.21,0.549,1.2637,62.17,48.96,0.01,16.61,1005.6,1.37,1,-0.866,-0.5,0.5,0.866,0.036,0.0,0.0,100.0,180.0,0
19.26,93.15,13.28,171.3,3.5,8.51,8.92,16.96,91.97,0.207,0.153,17.43,20.19,0.382,11.52,1012.5,0.76,0,0.5,0.866,0.9659,0.2588,0.489,0.136,0.0136,115.03,109.5,0
28.36,30.16,21.02,339.3,0.36,0.7,0.72,28.6,30.91,0.94,2.6954,33.34,30.1,0.11,12.42,1014.9,3.4,1,-0.866,-0.5,-0.2588,-0.9659,0.476,0.102,0.0443,33.85,42.8,0
34.02,17.17,31.2,286.0,0.0,0.05,0.08,36.62,21.9,1.981,4.4102,48.81,39.94,0.029,6.18,1001.8,10.26,1,-0.5,-0.866,0.0,-1.0,0.816,0.618,0.9451,3.21,16.3,1
5.6,61.25,8.63,102.2,0.25,5.34,48.39,2.76,66.4,0.092,0.3526,6.63,7.2,0.322,1.74,1021.4,1.61,1,0.5,-0.866,0.2588,-0.9659,0.561,0.265,0.0134,116.01,172.1,0
14.94,93.16,14.29,238.3,4.89,5.32,24.68,15.09,97.53,0.16,0.1162,16.66,16.33,0.386,7.57,1014.2,1.79,1,0.866,0.5,-0.9659,-0.2588,0.242,0.215,0.0083,89.82,110.0,0
